word,count
image,998
model,642
network,636
learning,465
data,411
propose,311
performance,309
dataset,296
proposed,286
video,286
result,279
feature,270
deep,258
training,258
paper,257
neural,239
detection,238
challenge,233
object,233
different,216
neural network,205
show,205
work,187
accuracy,179
datasets,179
vehicle,178
ha,170
system,166
framework,164
state-of-the-art,164
domain,158
3d,155
estimation,151
also,147
quality,144
however,143
camera,141
representation,141
use,138
recognition,135
experiment,132
used,132
visual,132
application,128
classification,121
demonstrate,120
architecture,118
first,118
pose,118
segmentation,118
available,117
present,115
space,115
human,113
track,105
existing,102
loss,102
scene,102
time,102
trained,102
technique,101
depth,97
face,97
super-resolution,95
's,94
action,94
study,94
convolutional,93
multiple,93
algorithm,91
module,91
large,88
attention,87
deep learning,87
point,87
due,86
dynamic,86
knowledge,86
solution,85
improve,84
input,84
tracking,84
vision,84
number,83
prediction,83
label,82
compression,80
introduce,78
sample,78
well,78
achieves,77
many,77
ai,76
achieve,75
challenging,75
mobile,75
recent,75
synthetic,75
distribution,74
language,74
transfer,74
computer,72
learned,71
robust,71
compared,70
metric,70
semantic,70
better,69
motion,69
resolution,68
benchmark,67
important,67
map,67
temporal,67
experimental,66
parameter,66
reconstruction,66
retrieval,66
test,66
address,65
effective,65
function,65
paper propose,65
research,65
traffic,65
baseline,64
code,64
learn,63
perform,63
evaluate,62
effectiveness,61
quantization,61
strategy,61
design,60
extensive,60
proposed method,60
source,60
various,60
classifier,59
convolutional neural,59
convolutional neural network,59
error,59
train,59
efficient,58
structure,58
type,58
adversarial,57
computer vision,57
outperforms,57
sensor,57
sign,57
across,56
focus,56
make,56
output,56
previous,56
anomaly,55
graph,55
provide,55
rate,55
generate,54
given,54
processing,54
real,54
score,54
simple,54
unsupervised,54
deep neural,53
standard,53
achieved,52
spatial,52
annotation,51
convolution,51
including,51
perceptual,51
real-time,51
setting,51
small,51
traditional,51
change,50
current,50
flow,50
generative,50
ntire,50
significant,50
experimental result,49
object detection,49
optimization,49
several,49
specifically,49
sr,49
term,49
device,48
end-to-end,48
field,48
mapping,48
process,48
three,48
aim,47
cnn,47
limited,47
noise,47
adaptation,46
city,46
fusion,46
machine,46
matching,46
natural,46
rgb,46
second,46
applied,45
deep neural network,45
person,45
semantic segmentation,45
similarity,45
appearance,44
even,44
local,44
moreover,44
often,44
pose estimation,44
region,44
scenario,44
significantly,44
supervised,44
texture,44
training data,44
detector,43
generation,43
need,43
propose novel,43
scale,43
text,43
action recognition,42
attribute,42
condition,42
estimate,42
large-scale,42
mean,42
block,41
cloud,41
common,41
effect,41
find,41
may,41
obtain,41
real-world,41
search,41
wa,41
within,41
area,40
context,40
cost,40
instance,40
obtained,40
still,40
autonomous,39
capture,39
color,39
computational,39
environment,39
facial,39
machine learning,39
restoration,39
shape,39
thus,39
2d,38
develop,38
development,38
finally,38
improvement,38
leverage,38
point cloud,38
reduce,38
tackle,38
attack,37
fast,37
property,37
recently,37
signal,37
stream,37
filter,36
highly,36
image compression,36
multi-camera,36
robustness,36
satellite,36
step,36
thermal,36
additional,35
ai city,35
automatic,35
case,35
continual,35
distance,35
effectively,35
extensive experiment,35
issue,35
key,35
labeled,35
require,35
specific,35
style,35
assessment,34
category,34
detect,34
distortion,34
diverse,34
enhancement,34
image quality,34
latent,34
light,34
pixel,34
us,34
ability,33
bias,33
description,33
hardware,33
higher,33
lead,33
publicly,33
reference,33
residual,33
sign language,33
calibration,32
channel,32
component,32
continual learning,32
distillation,32
driving,32
e.g.,32
fully,32
interest,32
objective,32
original,32
provided,32
re-identification,32
therefore,32
ai city challenge,31
city challenge,31
cnns,31
comparison,31
domain adaptation,31
factor,31
forgetting,31
generated,31
ground,31
measurement,31
online,31
optical,31
order,31
pair,31
paper present,31
patch,31
pipeline,31
potential,31
requirement,31
requires,31
result show,31
size,31
allows,30
best,30
contrastive,30
doe,30
efficiency,30
especially,30
example,30
generalization,30
imagenet,30
imagery,30
improved,30
learning-based,30
main,30
measure,30
modality,30
noisy,30
provides,30
public,30
self-supervised,30
shown,30
skin,30
advantage,29
amount,29
art,29
artifact,29
complex,29
developed,29
directly,29
final,29
increase,29
like,29
observation,29
place,29
quantitative,29
take,29
transformer,29
able,28
analyze,28
captured,28
concept,28
consists,28
designed,28
difficult,28
evaluated,28
extract,28
general,28
goal,28
hand,28
lack,28
mask,28
phase,28
pre-trained,28
publicly available,28
similar,28
sparse,28
year,28
among,27
dehazing,27
depth estimation,27
detail,27
difference,27
furthermore,27
help,27
image super-resolution,27
pattern,27
produce,27
regression,27
usually,27
value,27
vector,27
alignment,26
along,26
annotated,26
capability,26
compare,26
conditional,26
decoder,26
encoder,26
i.e.,26
loss function,26
popular,26
promising,26
relighting,26
state,26
variation,26
way,26
addition,25
background,25
benefit,25
computation,25
content,25
critical,25
deblurring,25
decision,25
ensemble,25
existing method,25
fashion,25
future,25
global,25
identify,25
method achieves,25
optimized,25
particular,25
people,25
predict,25
realistic,25
relation,25
sequence,25
team,25
u,25
yet,25
achieving,24
aerial,24
binary,24
capable,24
code available,24
combination,24
complexity,24
corresponding,24
could,24
detecting,24
edge,24
gradient,24
illumination,24
joint,24
known,24
mechanism,24
memory,24
multi-modal,24
practical,24
seen,24
state-of-the-art method,24
supervision,24
adaptive,23
anomaly detection,23
box,23
comparable,23
consistent,23
constraint,23
contains,23
crop,23
describe,23
expression,23
guided,23
improves,23
iqa,23
learning model,23
learns,23
manifold,23
monitoring,23
monocular,23
player,23
possible,23
rely,23
since,23
stage,23
activation,22
additionally,22
although,22
contrast,22
crucial,22
embedding,22
essential,22
experiment show,22
exploit,22
hdr,22
imaging,22
incremental,22
jointly,22
multi-scale,22
operation,22
optical flow,22
quantized,22
remote,22
spacecraft,22
superior,22
user,22
variety,22
advance,21
average,21
catastrophic,21
community,21
consistency,21
decomposition,21
fine-grained,21
gap,21
high-resolution,21
identity,21
introduced,21
knowledge distillation,21
latent space,21
le,21
location,21
modeling,21
ntire challenge,21
overall,21
performed,21
previously,21
quality assessment,21
relative,21
replay,21
resource,21
respectively,21
resulting,21
subject,21
transfer learning,21
translation,21
volume,21
automated,20
building,20
called,20
causal,20
compressed,20
degradation,20
effort,20
expensive,20
extracted,20
few-shot,20
ground truth,20
head,20
increasing,20
individual,20
kernel,20
learning method,20
match,20
matrix,20
mobile device,20
movement,20
much,20
performs,20
proposed framework,20
psnr,20
qualitative,20
radar,20
reducing,20
related,20
relationship,20
sampling,20
scheme,20
sport,20
synthesis,20
truth,20
useful,20
validate,20
validation,20
work present,20
work propose,20
another,19
autonomous driving,19
become,19
branch,19
burst,19
combine,19
comparing,19
considered,19
contribution,19
convolutional network,19
dense,19
efficiently,19
embedded,19
explore,19
faster,19
following,19
haze,19
hierarchical,19
image quality assessment,19
image restoration,19
inspired,19
instead,19
landmark,19
limitation,19
making,19
mobile ai,19
model trained,19
multi-task,19
participant,19
per,19
perception,19
physical,19
power,19
predicted,19
proposed approach,19
recent year,19
road,19
role,19
shift,19
speed,19
state art,19
state-of-the-art performance,19
success,19
surface,19
synthetic data,19
unseen,19
vehicle tracking,19
wide,19
3d object,18
addressed,18
consider,18
containing,18
denoising,18
deployment,18
detection method,18
differentiable,18
employ,18
enables,18
experimental result show,18
filtering,18
form,18
generic,18
geometric,18
human pose,18
image classification,18
intelligent,18
language-based,18
localization,18
made,18
major,18
occlusion,18
open,18
perceptual image,18
platform,18
question,18
re-id,18
relevant,18
respect,18
show proposed,18
solve,18
stereo,18
test set,18
trajectory,18
variational,18
vehicle re-identification,18
vehicle retrieval,18
widely,18
world,18
3d point,17
3d point cloud,17
association,17
augmentation,17
automatically,17
boundary,17
catastrophic forgetting,17
coding,17
collected,17
commonly,17
competition,17
considering,17
contrastive learning,17
deep learning-based,17
easily,17
estimating,17
evaluating,17
explanation,17
forecasting,17
generates,17
generative model,17
good,17
hr,17
impact,17
includes,17
intersection,17
lidar,17
lighting,17
low-resolution,17
maintaining,17
methodology,17
multi-view,17
must,17
natural language,17
optimal,17
outperform,17
panorama,17
perspective,17
query,17
reconstruct,17
reliable,17
remains,17
report,17
representation learning,17
selection,17
spatial-temporal,17
static,17
strong,17
temperature,17
tool,17
tracklets,17
typically,17
variable,17
accurately,16
active,16
address problem,16
apply,16
aspect,16
backbone,16
besides,16
blur,16
build,16
city-scale,16
competitive,16
create,16
curve,16
deepfake,16
demonstrate effectiveness,16
demonstrated,16
despite,16
detailed,16
dnns,16
downstream,16
dynamic range,16
editing,16
empirical,16
event-based,16
expert,16
fidelity,16
finding,16
full,16
gan,16
height,16
insight,16
investigate,16
language recognition,16
leveraging,16
literature,16
mainly,16
margin,16
mesh,16
natural language-based,16
network cnn,16
neural network cnn,16
particularly,16
pd,16
play,16
precision,16
proposes,16
random,16
reasoning,16
reduces,16
required,16
runtime,16
setup,16
sign language recognition,16
simulation,16
state-of-the-art result,16
suitable,16
testing,16
transform,16
transformation,16
